device_id,checkout_time,checkout_status,trial_converted
be6-8d92a4-15afe,1552527184,trial_started,1
be6-8d92a4-25198,1552655462,trial_started,1
be6-8d92a4-1b988,1551818610,trial_started,1
be6-8d92a4-00a73,1551615159,trial_started,1
be6-8d92a4-219cf,1553293130,trial_started,1
be6-8d92a4-10fca,1553519197,trial_started,1
be6-8d92a4-0f1f6,1553574418,trial_started,1
be6-8d92a4-15f20,1552023897,trial_started,1
be6-8d92a4-1f70d,1552427279,trial_started,1
be6-8d92a4-0ea3d,1552601286,trial_started,1
be6-8d92a4-04cc7,1553357410,trial_started,1
be6-8d92a4-09867,1553566404,trial_started,1
be6-8d92a4-12799,1553570769,trial_started,1
be6-8d92a4-154ab,1553652491,trial_started,1
be6-8d92a4-0f4eb,1553956195,trial_started,1
be6-8d92a4-1637c,1553970237,trial_started,1
be6-8d92a4-04a08,1551772665,trial_started,1
be6-8d92a4-12c1b,1551842192,trial_started,1
be6-8d92a4-2180f,1552116740,trial_started,1
be6-8d92a4-039cd,1552135636,trial_started,1
be6-8d92a4-24333,1552182415,trial_started,1
be6-8d92a4-10f7f,1553867837,trial_started,1
be6-8d92a4-1146a,1552251557,trial_started,1
be6-8d92a4-111b3,1552513066,trial_started,1
be6-8d92a4-0112e,1552898992,trial_started,1
be6-8d92a4-005d5,1552958755,trial_started,1
be6-8d92a4-203b0,1551807199,trial_started,1
be6-8d92a4-16106,1553561392,trial_started,1
be6-8d92a4-02c4a,1553714963,trial_started,1
be6-8d92a4-1ef83,1553725289,trial_started,1
be6-8d92a4-1c346,1553792195,trial_started,1
be6-8d92a4-09828,1553824645,trial_started,1
be6-8d92a4-183d0,1552170834,trial_started,1
be6-8d92a4-0abdc,1552749054,trial_started,1
be6-8d92a4-0fbf8,1553000318,trial_started,1
be6-8d92a4-1f40a,1552483954,trial_started,1
be6-8d92a4-0ea00,1552335057,trial_started,1
be6-8d92a4-233bf,1553277437,trial_started,1
be6-8d92a4-01539,1551809528,trial_started,1
be6-8d92a4-0462c,1553091920,trial_started,1
be6-8d92a4-05610,1552079516,trial_started,1
NA,1551766839,trial_started,1
be6-8d92a4-2144c,1551804893,trial_started,1
be6-8d92a4-03268,1551855845,trial_started,1
be6-8d92a4-077bb,1552060637,trial_started,1
be6-8d92a4-01e94,1552916242,trial_started,1
be6-8d92a4-09eaf,1552603189,trial_started,1
be6-8d92a4-1c32c,1553308364,trial_started,1
be6-8d92a4-0192d,1553798308,trial_started,1
be6-8d92a4-1ac63,1551440797,trial_started,1
be6-8d92a4-23b55,1551656747,trial_started,1
be6-8d92a4-022d5,1553325069,trial_started,1
be6-8d92a4-115d3,1551537478,trial_started,1
be6-8d92a4-1d45a,1551636269,trial_started,1
be6-8d92a4-10069,1552685488,trial_started,1
be6-8d92a4-03a1d,1552072800,trial_started,1
be6-8d92a4-1953a,1553626208,trial_started,1
be6-8d92a4-07110,1551584214,trial_started,1
NA,1553091694,trial_started,1
be6-8d92a4-0d564,1552584991,trial_started,1
be6-8d92a4-08616,1551473713,trial_started,1
be6-8d92a4-1a8d2,1551860731,trial_started,1
be6-8d92a4-01cdc,1551985100,trial_started,1
be6-8d92a4-09c89,1552189038,trial_started,1
be6-8d92a4-0ed05,1552521414,trial_started,1
be6-8d92a4-21753,1552097366,trial_started,1
be6-8d92a4-060ac,1553623125,trial_started,1
be6-8d92a4-07f07,1551533323,trial_started,1
be6-8d92a4-1e212,1552153306,trial_started,1
be6-8d92a4-21d47,1552653105,trial_started,1
be6-8d92a4-20f8b,1552050454,trial_started,1
be6-8d92a4-00a83,1551714660,trial_started,1
be6-8d92a4-0e0b6,1553101016,trial_started,1
be6-8d92a4-1c12b,1553743711,trial_started,1
be6-8d92a4-15df3,1552577703,trial_started,1
be6-8d92a4-1b9a7,1553152121,trial_started,1
be6-8d92a4-18455,1553524746,trial_started,1
be6-8d92a4-23965,1553607381,trial_started,1
be6-8d92a4-1cf6a,1551709946,trial_started,1
be6-8d92a4-233c8,1551850898,trial_started,1
be6-8d92a4-0b3a9,1551922756,trial_started,1
be6-8d92a4-0dd34,1552243400,trial_started,1
be6-8d92a4-22bb4,1552920318,trial_started,1
be6-8d92a4-1976f,1551986182,trial_started,1
be6-8d92a4-1908e,1551576019,trial_started,1
be6-8d92a4-0e1be,1553092904,trial_started,1
be6-8d92a4-1c52d,1553175138,trial_started,1
be6-8d92a4-0ccf5,1553476853,trial_started,1
be6-8d92a4-07432,1553820256,trial_started,1
be6-8d92a4-08d59,1551815950,trial_started,1
be6-8d92a4-065f2,1552616863,trial_started,1
be6-8d92a4-1285d,1553003192,trial_started,1
be6-8d92a4-10fea,1553094020,trial_started,1
be6-8d92a4-23df4,1553006836,trial_started,1
be6-8d92a4-1e37a,1552924878,trial_started,1
be6-8d92a4-16e81,1551888047,trial_started,1
be6-8d92a4-09dc2,1552494976,trial_started,1
be6-8d92a4-20855,1552681095,trial_started,1
be6-8d92a4-04fd6,1553136919,trial_started,1
be6-8d92a4-1d3fc,1553899146,trial_started,1
be6-8d92a4-09c03,1551485621,trial_started,1
